Participant,Score,Time
Participant1,0,Before
Participant2,0,Before
Participant3,0,Before
Participant4,0,Before
Participant5,0,Before
Participant6,2,Before
Participant7,2,Before
Participant8,2,Before
Participant9,2,Before
Participant10,2,Before
Participant11,2,Before
Participant12,1,Before
Participant13,1,Before
Participant14,1,Before
Participant15,5,Before
Participant16,5,Before
Participant17,5,Before
Participant18,5,Before
Participant19,5,Before
Participant20,5,Before
Participant21,5,Before
Participant22,5,Before
Participant23,6,Before
Participant24,6,Before
Participant25,6,Before
Participant26,6,Before
Participant27,6,Before
Participant28,6,Before
Participant29,6,Before
Participant30,6,Before
Participant31,6,Before
Participant32,6,Before
Participant33,6,Before
Participant34,6,Before
Participant35,6,Before
Participant36,6,Before
Participant37,6,Before
Participant38,6,Before
Participant39,6,Before
Participant40,6,Before
Participant41,6,Before
Participant42,6,Before
Participant43,6,Before
Participant44,3,Before
Participant45,3,Before
Participant46,3,Before
Participant47,3,Before
Participant48,3,Before
Participant49,3,Before
Participant50,7,Before
Participant51,7,Before
Participant52,7,Before
Participant53,7,Before
Participant54,7,Before
Participant55,7,Before